SMILES,BoilingPoint,MeltingPoint,CriticalTemp,CriticalPress,CriticalVolume,Molecular Weight,EnthalpyVap,Log P
CC1=CC(=CC=C1)N,463.95,290.85,692.1042798493484,43.45390778820044,348.5,107.15599999999996,44.755,1.5772199999999998
CC1=CC=C(C=C1)N,463.95,290.85,692.1042798493484,43.45390778820044,348.5,107.15599999999996,44.755,1.5772199999999998
CC(C)CC#N,415.64,196.1,610.9209483373327,33.99943900925634,335.5,83.13399999999996,36.814,1.55608
COC(=O)CC#N,451.42,242.16000000000005,651.3592857678486,38.01003769075337,311.5,99.08899999999998,42.383,0.0730799999999999
CNN,345.18,236.95,535.2349104900321,64.61885216240526,155.5,46.073000000000015,34.897000000000006,-0.9205
CC(C)C#N,392.76,184.83,589.7037331807716,38.15103307274905,279.5,69.10699999999997,34.588,1.16598
CC1=CC=CC=N1,417.26,255.34000000000003,645.5112071751093,46.78485143938274,312.5,93.12899999999996,37.43600000000001,1.39002
CC1=CN=CC=C1,417.26,255.34000000000003,645.5112071751093,46.78485143938274,312.5,93.12899999999996,37.43600000000001,1.39002
CC1=CC=NC=C1,417.26,255.34000000000003,645.5112071751093,46.78485143938274,312.5,93.12899999999996,37.43600000000001,1.39002
CC1=CSC=N1,415.9,319.01,655.765145320962,55.94189650861031,268.5,99.15799999999996,38.33200000000001,1.45152
C1COCCN1,390.84,278.06,610.0601294144134,55.03262333911543,251.5,87.12199999999996,36.504000000000005,-0.3938000000000001
CC[N+](=O)[O-],397.2,255.91,609.0785737581808,51.166493723917874,229.5,75.06699999999998,36.637,0.2829999999999999
C[N+](=O)[O-],374.32,244.64,588.150113909304,58.989950472037606,173.5,61.04000000000001,34.411,-0.1071
CCC[N+](=O)[O-],420.08,267.18,629.6968688919794,44.802144768274346,285.5,89.09399999999997,38.863,0.6731
CC(C)[N+](=O)[O-],419.64,252.18,634.460235041482,45.28583513420004,279.5,89.09399999999997,38.475,0.6715
CCCCC#N,416.08,211.1,606.8049659303688,33.6844487994694,341.5,83.13399999999996,37.202,1.70018
CC=CCC#N,420.24,206.02,620.8711272232664,35.81352755725597,321.5,81.11799999999997,37.16,1.47618
CCCCCN,386.53,229.37,567.5801084852882,37.13494952060636,344.5,87.16599999999994,37.365,1.1353
C(CN)CN,413.3,290.09000000000003,612.7261940714819,51.60853481305325,261.5,74.12699999999995,43.554,-0.7060999999999993
CCC#N,370.32,188.56,563.7505818359051,42.66282587466259,229.5,55.08000000000001,32.75,0.91998
CCCN,340.77,206.83,522.8726599695431,47.62809695746952,232.5,59.11200000000002,32.913,0.3551000000000001
C1=CC=NC=C1,389.4,231.55,618.7658132682682,54.7884863091791,256.5,79.10199999999998,34.548,1.0816
C1=CN=CN=C1,420.22,291.82000000000005,667.4640698414377,63.59235772481806,249.5,80.08999999999997,38.532,0.4765999999999999
C1=CNC=C1,357.94,256.53,571.6983962417722,59.90664148990213,210.5,67.09099999999998,32.406000000000006,1.0147
C1CCNC1,359.62,255.01,568.7166316641785,53.74910776481112,238.5,71.12299999999998,31.822,0.3697999999999999
C1=CC=C2C(=C1)C=CC=N2,504.88,321.85,757.7796881032957,44.14962307259302,402.5,129.16199999999998,45.754000000000005,2.2348
C(CC#N)C#N,495.28,264.82,710.1440132141157,36.64206274293687,311.5,80.08999999999999,45.45400000000001,0.8137599999999999
C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],826.6099999999999,677.89,1138.2594659016854,64.30830946959149,408.5,196.031,82.88799999999999,-1.2954999999999997
