Mol. wt.,JR Vc /(cm3 mol-1),CRC Vc /(cm3 mol-1)
119.378,232.5,237.0
235.419,464.5,443.0
187.375,326.5,325.0
324.6369999999991,1323.5,1527.0
184.36700000000025,763.5,824.0
200.36600000000024,782.5,828.0
198.35000000000025,769.5,820.0
198.35000000000025,769.5,830.0
182.35100000000023,744.5,770.0
260.46500000000015,991.5,1079.0
101.19299999999993,389.5,392.0
162.27600000000015,599.5,624.0
150.17400000000012,445.5,454.0
95.023,216.5,202.0
132.08400000000003,317.5,297.0
132.08400000000003,317.5,300.0
84.03999999999999,190.5,195.0
100.039,209.5,211.0
114.066,264.5,277.0
195.909,222.5,231.0
70.013,139.5,133.0
136.01900000000003,238.5,226.0
186.026,319.5,341.0
96.051,227.5,229.0
59.112000000000016,221.5,254.0
120.19499999999992,431.5,423.0
120.19499999999992,431.5,436.0
120.19499999999992,431.5,435.0
100.20499999999991,410.5,401.0
126.2429999999999,470.5,494.0
142.2860000000001,578.5,583.0
128.2589999999999,522.5,547.0
114.2319999999999,466.5,442.0
114.2319999999999,466.5,475.0
114.2319999999999,466.5,454.0
114.2319999999999,465.5,462.0
671.0850000000004,1079.5,1196.0
156.31300000000022,651.5,683.0
186.2950000000002,675.5,741.0
172.3120000000002,670.5,707.0
170.2960000000002,657.5,692.0
170.2960000000002,657.5,692.0
232.41100000000023,879.5,946.0
86.08999999999997,266.5,269.0
106.16799999999994,375.5,372.0
106.16799999999994,375.5,377.0
106.16799999999994,375.5,372.0
122.16699999999992,341.5,397.0
122.16699999999992,341.5,389.0
122.16699999999992,341.5,397.0
122.16699999999992,341.5,396.0
